Date,BTC
2017-01-01 00:00:00,995.44
2017-01-02 00:00:00,1017.05
2017-01-03 00:00:00,1033.3
2017-01-04 00:00:00,1135.41
2017-01-05 00:00:00,989.35
2017-01-06 00:00:00,886.16
2017-01-07 00:00:00,888.87
2017-01-08 00:00:00,900.86
2017-01-09 00:00:00,899.78
2017-01-10 00:00:00,904.37
2017-01-11 00:00:00,785.43
2017-01-12 00:00:00,810.11
2017-01-13 00:00:00,824.83
2017-01-14 00:00:00,819.63
2017-01-15 00:00:00,821.17
2017-01-16 00:00:00,827.34
2017-01-17 00:00:00,899.66
2017-01-18 00:00:00,872.03
2017-01-19 00:00:00,895.21
2017-01-20 00:00:00,892.91
2017-01-21 00:00:00,919.84
2017-01-22 00:00:00,918.84
2017-01-23 00:00:00,921.46
2017-01-24 00:00:00,893.75
2017-01-25 00:00:00,894.41
2017-01-26 00:00:00,915.56
2017-01-27 00:00:00,918.01
2017-01-28 00:00:00,918.51
2017-01-29 00:00:00,914.55
2017-01-30 00:00:00,920.73
2017-01-31 00:00:00,965.49
2017-02-01 00:00:00,982.43
2017-02-02 00:00:00,1003.97
2017-02-03 00:00:00,1013.02
2017-02-04 00:00:00,1031.85
2017-02-05 00:00:00,1016.11
2017-02-06 00:00:00,1024.67
2017-02-07 00:00:00,1049.56
2017-02-08 00:00:00,1055.49
2017-02-09 00:00:00,978.96
2017-02-10 00:00:00,997.61
2017-02-11 00:00:00,1008.32
2017-02-12 00:00:00,996.52
2017-02-13 00:00:00,995.36
2017-02-14 00:00:00,1008.34
2017-02-15 00:00:00,1008.19
2017-02-16 00:00:00,1031.93
2017-02-17 00:00:00,1049.41
2017-02-18 00:00:00,1052.28
2017-02-19 00:00:00,1048.89
2017-02-20 00:00:00,1077.56
2017-02-21 00:00:00,1119.03
2017-02-22 00:00:00,1120.46
2017-02-23 00:00:00,1171.91
2017-02-24 00:00:00,1176.49
2017-02-25 00:00:00,1149.05
2017-02-26 00:00:00,1171.58
2017-02-27 00:00:00,1188.83
2017-02-28 00:00:00,1189.27
2017-03-01 00:00:00,1222.66
2017-03-02 00:00:00,1255.47
2017-03-03 00:00:00,1283.3
2017-03-04 00:00:00,1264.32
2017-03-05 00:00:00,1271.22
2017-03-06 00:00:00,1277.01
2017-03-07 00:00:00,1232.69
2017-03-08 00:00:00,1146.97
2017-03-09 00:00:00,1191.33
2017-03-10 00:00:00,1112.39
2017-03-11 00:00:00,1179.22
2017-03-12 00:00:00,1225.11
2017-03-13 00:00:00,1238.19
2017-03-14 00:00:00,1243.14
2017-03-15 00:00:00,1253.43
2017-03-16 00:00:00,1172.88
2017-03-17 00:00:00,1071.71
2017-03-18 00:00:00,971.38
2017-03-19 00:00:00,1022.6
2017-03-20 00:00:00,1047.51
2017-03-21 00:00:00,1121.29
2017-03-22 00:00:00,1044.72
2017-03-23 00:00:00,1035.03
2017-03-24 00:00:00,939.7
2017-03-25 00:00:00,966.3
2017-03-26 00:00:00,969.44
2017-03-27 00:00:00,1045.14
2017-03-28 00:00:00,1044.42
2017-03-29 00:00:00,1041.9
2017-03-30 00:00:00,1037.91
2017-03-31 00:00:00,1079.11
2017-04-01 00:00:00,1086.12
2017-04-02 00:00:00,1097.4
2017-04-03 00:00:00,1147.56
2017-04-04 00:00:00,1141.77
2017-04-05 00:00:00,1129.87
2017-04-06 00:00:00,1188.7
2017-04-07 00:00:00,1190.49
2017-04-08 00:00:00,1180.78
2017-04-09 00:00:00,1204.34
2017-04-10 00:00:00,1206.71
2017-04-11 00:00:00,1220.74
2017-04-12 00:00:00,1212.53
2017-04-13 00:00:00,1176.2
